Pï¿½ivï¿½mï¿½ï¿½rï¿½,Tiedosto,Kategoria,Siirron tyyppi
2024-12-19 10:55:56,Lataukset-kansion valvonta kï¿½ynnistetty,N/A,Aloitus

2024-12-19 10:59:00,FunnyDogSmiling-ef11b73fa1834734b8c47025039fcd43-3068003026.jpg,01___Kuvat,Siirretty
2024-12-19 10:59:21,testi.java,07___Koodit,Siirretty
2024-12-19 10:59:22,testi.jpg,01___Kuvat,Siirretty
2024-12-19 10:59:23,testi.mkv,02___Videot,Siirretty
2024-12-19 10:59:24,testi.msg,12___Sähköpostit,Siirretty
2024-12-19 10:59:25,testi.pdf,03___Dokumentit,Siirretty
2024-12-19 12:54:39,downloadsorganizer-video.mp4,02___Videot,Siirretty
2024-12-19 12:54:41,floorheating-video.mp4,02___Videot,Siirretty
2024-12-19 12:54:43,rps-video.mp4,02___Videot,Siirretty
2024-12-19 13:00:27,172.18.137.2.rdp,13___Muut,Siirretty
2024-12-19 13:12:57,Python Ninjas -  Projekti.pdf,03___Dokumentit,Siirretty
2024-12-20 13:06:33,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2024-12-21 10:30:07,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2024-12-21 13:15:35,icons8-menu-500.png,01___Kuvat,Siirretty
2024-12-22 09:36:48,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2024-12-22 15:46:20,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2024-12-23 16:41:15,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2025-01-04 13:35:07,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2025-01-04 13:56:08,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2025-01-04 14:15:38,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2025-01-04 14:19:42,funny-animal-gifs1-2250545951.gif,01___Kuvat,Siirretty
2025-01-07 17:29:38,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2025-01-18 19:43:45,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2025-01-19 09:21:08,Lataukset-kansion valvonta käynnistetty,N/A,Aloitus
2025-01-21 19:29:25,2131_15052024_tj_netti.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:11,68130_09012025_tj_netti.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:15,5122_08012025_tj_netti.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:19,0005_Voimassa_olevat_ST-julkaisut_20241220.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:24,66311_16122024_tj_netti.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:28,66411_16122024_tj_netti.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:32,66511_16122024_tj_netti.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:37,ST_ohjeisto_6_2024.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:41,ST-käsikirja_42_Akkuenergiavarastot.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:45,ST-ohjeisto_19_2024.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:52,ST-ohjeisto_12_2024.pdf,03___Dokumentit,Siirretty
2025-01-21 19:37:56,ST 5823_27112024_tj_netti.pdf,03___Dokumentit,Siirretty
2025-01-21 19:38:01,68115_26112024_tj_netti.pdf,03___Dokumentit,Siirretty
2025-01-21 19:38:05,9701_lomake.pdf,03___Dokumentit,Siirretty
2025-01-21 19:38:10,955901_lomake.pdf,03___Dokumentit,Siirretty
2025-01-21 19:38:15,5107_05092024_tj_netti.pdf,03___Dokumentit,Siirretty
2025-01-21 19:38:21,9700_06082024_netti.pdf,03___Dokumentit,Siirretty
2025-01-21 19:38:25,ST-käsikirja_23_2024.pdf,03___Dokumentit,Siirretty
2025-01-21 19:38:29,60010_17072024_tj_netti.pdf,03___Dokumentit,Siirretty
